Questions,Reponse1,Reponse2
Si Elsa mange 1 tablette de chocolat tous les 3 jours combien en consomme-t-elle en 12 jours?,4,6
Quel savant francais a découvert le vaccin contre la rage?, Louis Pasteur,Marie Curie
Comment appelle-t-on les poils au bord de la paupière ?,les cils,les sourcils
Une symphonie est une pièce de théâtre?, Vrai, Faux
Combien y a-t-il d'axes de symétrie dans un carré ?,4,5
Que signifie le mot anglais today ?,aujourd'hui, hier
Par quel moyen de transport a-t-on découvert l'Amérique?,avion,bateau
Julie travaille de 8h à 12h et de 14h à 18h combien de temps travaille-t-elle en tout?,12heures,8heures
Que signifie le mot anglais milk?,lait,jus d'orange
Dans quelle mer se baigne-t-on à Marseille ?, Mer du nord, Mer méditerranée
Sur un vélo qu'est-ce qui entraîne la roue arrière quand on pédale ?,la roue,la selle
Que sont Mon Quotidien et Le Monde, des livres, des journaux
Que fait-on quand on irrigue les champs ?, On les récolte,On les arrose
Comment sont des nombres dans l'ordre croissant ?, Du plus grand au plus petit, Du plus petit au plus grand
Quel appareil tiennent les chanteurs pour qu'on les entende bien?,Un micro, Une enceinte
Alex entre  chez le coiffeur à 14h30. Quelle heure est-il 35min plus tard?, 14h55, 15h05
Comment dit-on but en anglais ? ,Goal,But
Quel mois de l'année a lieu la fête des Mères?, Juin, Mai
Eric court 6h par mois.Combien d'heures a-t-il couru en 4mois?, 18h,24h
Combien font 5km en mètres?,500m,5000m
Justine a distribué 32cartes à 4joueurs.Combien chacun en a-t-il?,8,6
Quel genre de statues peut-on voir au musée Grévin ? ,des statues de cire, des statues de pierre
Comment y a-t-il de syllabes dans le mot « poterie »,3,2
Zorro a vraiment existé,VRAI,FAUX
Pour un lavage de lave-vaisselle on utilise,18litres,18milli-litre
Le verbe est le seul mot qui se conjugue,VRAI,FAUX
Quel est la moitié de 1622,811,821
2 lignes qui ne se coupent jamais sont,parallèles,perpendicullaires
 6 x 400 = 6 x 100 x ?,4,40
Quel âge avait Louis XIV quand il devenu roi,5ans,25ans
"Jules Ferry a rendu l’école primaire laïque, gratuite et obligatoire en 1882",FAUX,VRAI
Comment de côtés égaux possède un triangle isocèle,2,3
Combien y a-t-il au maximum de billets de 10€ dans 125€,13,12
Où se situe le Mont-Saint-Michel ?,En Normandie,En Bretagne
Combien y a-t-il de valet dans un jeu de 52 cartes,4,3
Quelle opération faut-ilfaire avec 354 et 126 pour obtenir 480,354+126,354*126
"Pendant un orage, l’éclair arrive avant le tonnerre",FAUX,VRAI
Quel mot est correct ?,Pain au chocolat,Chocolatine
Quelle guerre s’est terminée le 11 novembre 1918,1ere guerre mondiale,2eme guerre mondiale
"Comment dit-on NON en anglais, italien et espagnol ",NEIN,No
La potion magique des gaulois a vraiment existé,VRAI,FAUX
Combien un quadrilatère a-t-il de côtés ?,3,4
Le dauphin est un poisson,FAUX,VRAI
"Dans le Seigneur des anneaux, quel objet au pouvoir magique garde Freudon",Une baguette,Un anneau
Ou l’américain Neil Armstrong a-t-il marché pour la première fois en 1969 ?,Sur l’eau,Sur la Lune
Quand on parle de naufrage a quel moyen de transport pense-t-on ?,L’avion,Le bateau
Un canette de boisson contient,33cl,33ml
Où se trouve Lille par rapport à Paris,Au nord,Au sud
Où se trouve Strasbourg par rapport à Paris,A l’est,A l’ouest
Où se trouve Le Havre par rapport à Paris,A l’est,A l’ouest
Où se trouve Nice par rapport à Paris,Au nord,Au sud
Où se trouve le Portugal par rapport à la France,Au nord,Au sud
Où se trouve la Russie par rapport à la France,A l’est,A l’ouest
Le tricératops était un animal préhistorique,VRAI,FAUX
Que lance-t-on au bowling,Des quilles,Une boule
En 1948 a été adoptée la Déclaration universelle des droits de …,l’homme,la femme
Combien fait 77minutes,1h17,1h27
Où se trouve la Pérou : ,En Amerique du nord,En Amerique du sud
Un champion court-il le 100mètres en …,10min,10s
Lors des vendanges quel fruit recolte-t-on ?,La pomme,Le raisin
